X,Class1,Class2
2.11227,0.654676,
0.287918,2.15915,
0.599946,3.28091,
1.86633,2.38714,
0.641796,1.30035,
1.04745,2.24417,
3.22414,1.39271,
0.250164,1.98068,
0.772023,1.89464,
1.05419,0.13704,
1.78689,0.695298,
-0.704961,1.29053,
1.15559,3.08178,
0.894486,1.73065,
0.108877,1.98543,
1.50562,0.10098,
1.97399,0.498025,
-0.0740049,2.33978,
1.39698,1.90516,
0.605197,2.22358,
0.907702,-0.49799,
1.79944,-0.463512,
0.709931,-0.499969,
2.41749,-1.09693,
2.53808,0.0259131,
0.2364,0.00677502,
0.296089,1.4701,
0.306178,1.50621,
0.327737,0.460308,
1.07581,1.22632,
1.03935,0.178735,
1.43827,2.52775,
-0.119531,0.640049,
3.23058,-0.331783,
1.19277,2.60995,
2.35382,1.70426,
3.09466,0.965589,
1.74668,-0.256651,
2.15381,-0.0532368,
0.355574,1.20138,
1.01096,1.48363,
1.33819,0.40355,
1.66529,0.926508,
-0.689422,2.073,
3.0324,0.802527,
1.57709,0.136239,
0.259606,2.68695,
0.47997,-0.072745,
2.19353,0.112206,
1.53103,1.23309,
1.06831,0.131741,
1.27922,0.390547,
2.51489,2.84123,
1.95666,0.265872,
1.98357,0.493717,
2.02553,1.77078,
0.438615,2.32543,
2.42192,1.23262,
0.933207,3.74215,
2.12341,0.976578,
0.964045,-0.86764,
1.42473,0.326296,
1.7618,1.50523,
0.995896,-0.054027,
0.800727,1.49126,
1.40139,1.3791,
-0.0874517,2.63449,
0.212146,1.29575,
0.732879,0.352293,
1.56053,-0.573119,
0.95498,-0.227179,
1.08858,-0.460852,
2.15382,0.630668,
2.35156,1.81705,
0.653818,0.353461,
0.380495,0.930064,
0.183294,0.761164,
1.25432,0.696975,
2.8318,0.452208,
3.49572,1.94894,
0.664954,1.66546,
3.3766,1.55765,
0.489504,1.63214,
1.84835,0.456958,
0.473271,2.06499,
0.276058,1.83058,
0.292463,-0.0289439,
0.277678,1.32317,
-0.288773,0.575012,
-0.348927,0.427082,
1.03448,0.697841,
0.114445,2.0804,
1.10131,1.81252,
2.12784,-0.0719776,
2.27219,2.5326,
0.134691,2.37391,
0.57736,1.17985,
2.75724,1.59508,
1.3976,1.91502,
1.35026,1.79329,
1.12704,0.896483,
1.95538,1.51015,
2.07894,1.13862,
1.0869,1.73217,
2.24336,1.37402,
1.99573,1.23717,
1.63205,1.67678,
0.888298,-0.263834,
1.82701,1.36452,
2.13565,2.70644,
1.0776,0.541384,
2.27403,1.05764,
1.01462,0.362141,
3.09735,0.27053,
-0.474851,0.456431,
3.14407,-0.381042,
2.70378,2.17743,
1.20436,1.66453,
0.798736,2.14848,
-1.02605,1.44729,
1.63988,0.951874,
1.73479,1.69867,
-0.680969,0.0241202,
1.47015,-0.189061,
1.23879,1.64635,
0.494284,-0.203844,
2.67537,1.9142,
1.38226,-0.546474,
-0.268328,0.798197,
1.09645,1.32312,
1.86638,0.696312,
0.812334,-0.760852,
1.19631,1.38114,
0.496008,0.550235,
0.546872,0.669318,
1.17655,0.336233,
0.463353,-0.750226,
1.28313,-0.323499,
1.72103,1.58202,
-0.0923531,1.59098,
1.80227,1.30231,
1.6101,1.6939,
1.61736,0.714282,
1.5105,0.486921,
0.606447,0.440354,
0.7866,-0.675697,
3.54021,0.289898,
1.74105,0.112393,
1.02762,0.650324,
-0.447772,1.11132,
2.3673,2.10304,
2.23783,-0.0180407,
-0.125063,1.85383,
-0.229885,2.15712,
0.141836,0.162509,
1.88056,1.25167,
-0.387502,-0.245384,
-0.0286409,2.03434,
0.9371,0.184502,
0.730554,0.83458,
1.1238,0.887507,
1.52654,2.58379,
0.847026,1.10902,
1.94837,0.143664,
-0.0604969,2.28806,
2.148,-0.311884,
0.290242,0.793205,
1.39114,-0.371672,
